CÂU HỎI,TRẢ LỜI CHÍNH
"Cho em xin thông tin lớp ""tên lớp""","Mình gửi bạn thông tin chi tiết của lớp TÊN LỚP. Trong link bên dưới sẽ có đầy đủ thông tin về Học phí, Mentor và sơ bộ giáo trình. Bạn tham khảo qua nhé

Copy link lớp từ web"
Cho em hỏi về gói Foundation,"Dạ hiện tại gói Foundation đang có học phí là  12.500.000đ ạ

Khi tham gia gói Foundation thì bạn sẽ được các quyền lợi như sau:
- Học 3 lớp bất kì trong các lớp coaching 1-1 tại TDC
- Được tham gia, truy cập vào các Design Workshop mà TDC khai giảng
- Được truy cập tất cả những dữ liệu event của TDC
- Quyền lợi đặc biệt: Được Mentor Nhatminh Phan - Founder TDC tư vấn portfolio/ nghề nghiệp ạ. "
Cho em hỏi về gói Enhance,"Dạ hiện tại gói Enhance đang có học phí là 22.600.000đ ạ

Khi tham gia gói Enhance thì bạn sẽ được các quyền lợi như sau:
- Học 5 lớp bất kì trong các lớp coaching 1-1 tại TDC (Tặng thêm 1 môn tool, tổng là 6 môn)
- Được tham gia, truy cập vào các Design Workshop mà TDC khai giảng
- Được truy cập tất cả những dữ liệu event của TDC
- Quyền lợi đặc biệt: Được Mentor Nhatminh Phan - Founder TDC tư vấn portfolio/ nghề nghiệp ạ."
Cho em hỏi về gói Comprehensive,"Dạ hiện tại gói Comprehensive đang đang có học phí là 55.500.000₫ ạ

Khi tham gia gói Comprehensive thì bạn sẽ được các quyền lợi như sau:
- Học 12 lớp bất kì trong các lớp coaching 1-1 tại TDC (tặng 3 môn phần mềm)
- Được tham gia, truy cập vào các Design Workshop mà TDC khai giảng
- Được truy cập tất cả những dữ liệu event của TDC
- Quyền lợi đặc biệt: Được Mentor Nhatminh Phan - Founder TDC tư vấn portfolio/ nghề nghiệp ạ.
- Hỗ trợ thực tập có lương"
Em phân vân không biết chọn môn nào ad ơi,"Dạ để có thể tư vấn đúng nhất cho bạn, bạn có thể chia sẻ cho TDC về định hướng của bạn được không ạ? Mong bạn không ngại ạ, vì TDC sẽ dựa trên đúng định hướng và nhu cầu của bạn để tư vấn lớp cho bạn ạ."
,
"1, Dạ em chưa biết về Coaching 1-1, Ad hỗ trợ em với
2, Cho tôi biết về hình thức coaching 1-1.","
Dạ mình thông tin đến bạn về lớp Coaching 1-1:

Khi đăng ký lớp, bạn sẽ được coaching 1 buổi trước với Mentor để Mentor hướng dẫn bạn cách học qua các học liệu cũng như lộ trình môn học như thế nào và những điều trọng tâm cần lưu ý cho môn học.

Sau đó, TDC sẽ cung cấp các học liệu là video bài giảng và cả học liệu chữ để bạn có thể học bất cứ lúc nào tùy theo thời gian của bạn, Trong quá trình học, làm bài tập bạn có thể book coaching với Mentor để mentor sửa bài trực tiếp cho bạn thông qua Google Meet , Mentor có thể theo sát được quá trình học để có thể phù hợp với công việc, định hướng của bạn ạ.

Bạn sẽ có thể book coaching bất cứ lúc nào tuỳ vào thời gian rảnh của bạn trên lịch riêng của mentor ạ."
Là mình học qua video rồi khi nào cần Mentor mới sửa bài hả?,"Dạ bạn sẽ học qua học liệu là video bài giảng, tài liệu chữ do chính Mentor biên soạn. Sau mỗi buổi học như vậy thì bạn sẽ luôn có bài tập, bạn làm bài tập xong thì bạn có thể book coach để được sửa bài/ giải đáp câu hỏi trong quá trình học cho mình nhé."
Cho hỏi về hình thức trả góp,"Dạ TDC có chính sách trả góp 50% để bắt đầu tham gia khoá học, sau tối đa 1 tháng mình hoàn thành 50% học phí còn lại ạ."
,"Mình ví dụ cho bạn nhé
Kỳ hạn 1 - Ngày tháng năm: 6.250.000đ
Kỳ hạn 2 - Ngày tháng năm: 6.250.000đ"
,"Mình ví dụ cho bạn nhé
Kỳ hạn 1 - Ngày tháng năm: 11.300.000đ
Kỳ hạn 2 - Ngày tháng năm: 11.300.000đ"
Cho hỏi về hình thức trả góp Comprehensive,"Dạ đối với gói Comprehensive thì bạn được chia ra làm 4 lần trả góp nhé

Mình ví dụ cho bạn nhé
Kỳ hạn 1 - Ngày tháng năm: 13.875.000đ
Kỳ hạn 2 - Ngày tháng năm: 13.875.000đ
Kỳ hạn 3 - Ngày tháng năm: 13.875.000đ
Kỳ hạn 4 - Ngày tháng năm: 13.875.000đ
"